,Caution
3258,None
3259,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3260,None
3261,None
3262,None
3263,None
3264,None
3265,None
3266,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3267,"You should not receive  Calcium Disodium Versenate if you are unable to urinate, or if you have active hepatitis or kidney disease."
3268,None
3269,None
3270,None
3271,Do not take calcium gluconate or antacids that contain calcium without first asking your doctor if you also take other medicines. Calcium can make it harder for your body to absorb certain medicines. Calcium gluconate works best if you take it with food.
3272,None
3273,None
3274,None
3275,Do not take calcium lactate or antacids that contain calcium without first asking your doctor if you also take other medicines. Calcium can make it harder for your body to absorb certain medicines.
3276,"This medicine can cause severe drowsiness and can slow or stop your breathing, even at regular doses or if you are also taking stimulant medicines."
3277,None
3278,Do not take calcium phosphate or antacids that contain calcium without first asking your doctor if you also take other medicines. Calcium can make it harder for your body to absorb certain medicines.
3279,None
3280,None
3281,None
3282,None
3283,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3284,None
3285,None
3286,None
3287,None
3288,"Caldolor can increase your risk of fatal heart attack or stroke, even if you don't have any risk factors. You should not receive this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG)."
3289,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3290,None
3291,Your baby will receive this medication in a neonatal intensive care unit (NICU) or similar hospital setting.
3292,None
3293,None
3294,None
3295,"Chlorhexidine can cause a rare but serious allergic reaction that may be life-threatening. Get emergency medical help if you have: hives, severe skin rash; wheezing, difficult breathing; cold sweats, severe dizziness; swelling of your face, lips, tongue, or throat."
3296,None
3297,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3298,None
3299,None
3300,None
3301,You should not use Calphron if you have high levels of calcium in your blood.
3302,None
3303,None
3304,None
3305,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3306,None
3307,"You should not use this medicine if you you have: undiagnosed vaginal bleeding, breast cancer, liver disease, or a liver tumor. You may not be able to take Camila if you have ever had a heart attack, a stroke, or blood clot."
3308,None
3309,None
3310,"Campath can cause life-threatening side effects. Seek emergency medical attention if you have sudden weakness on one side of your body, severe headache or neck pain, confusion, or problems with speech, vision, or balance."
3311,None
3312,None
3313,None
3314,None
3315,None
3316,None
3317,None
3318,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3319,None
3320,None
3321,None
3322,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3323,None
3324,None
3325,None
3326,None
3327,None
3328,Do not use birth control pills if you are pregnant or if you have recently had a baby.
3329,None
3330,Do not use birth control pills if you are pregnant or if you have recently had a baby.
3331,You should not use canagliflozin if you have severe kidney disease or if you are on dialysis.
3332,You should not use this medicine if you have severe kidney disease or diabetic ketoacidosis.
3333,None
3334,None
3335,"Serious and sometimes fatal infections may occur during treatment with canakinumab. Call your doctor right away if you have signs of infection such as: fever, chills, sweating, tiredness, cough, shortness of breath, skin sores, warm or painful areas on your body, diarrhea, stomach pain, or weight loss."
3336,None
3337,None
3338,None
3339,"Call your doctor at once if you have severe stomach pain, cramping, and bloody diarrhea (may occur with fever, headache, and skin rash)."
3340,"Call your doctor at once if you have severe stomach pain, cramping, and bloody diarrhea (may occur with fever, headache, and skin rash)."
3341,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3342,Do not use if you are pregnant. Stop using candesartan and tell your doctor right away if you become pregnant.
3343,None
3344,None
3345,None
3346,None
3347,None
3348,None
3349,None
3350,None
3351,None
3352,None
3353,Cannabidiol can harm your liver. Your liver function may need to be checked before and during treatment.
3354,None
3355,None
3356,None
3357,"You should not use  Capacet if you have porphyria, or if you have recently used alcohol, sedatives, tranquilizers, or other narcotic medications."
3358,None
3359,"Capastat Sulfate can harm your kidneys or damage the nerve that controls your hearing. These effects are increased if you already have kidney disease or hearing problems, or when you also use certain other medicines, including injected antibiotics. Before you use this medicine, tell your doctor about all your medical conditions and any medicines you are using."
3360,None
3361,You should not take capecitabine if you have severe kidney disease or a metabolic disorder called DPD (dihydropyrimidine dehydrogenase) deficiency.
3362,None
3363,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3364,None
3365,There are many brands and forms of saliva substitutes available. Not all brands are listed on this leaflet. Follow all directions on your medicine label and package.
3366,None
3367,None
3368,None
3369,None
3370,"Caplacizumab can increase your risk of bleeding. Call your doctor if you have unusual bruising or bleeding, or any bleeding that will not stop."
3371,None
3372,None
3373,Caplyta is not approved for use in older adults with dementia-related psychosis.
3374,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3375,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
3376,None
3377,None
3378,None
3379,None
3380,None
3381,None
3382,Do not use Caprelsa if you are pregnant. It could harm the unborn baby.
3383,"Capreomycin can harm your kidneys or damage the nerve that controls your hearing. These effects are increased if you already have kidney disease or hearing problems, or when you also use certain other medicines, including injected antibiotics. Before you use capreomycin, tell your doctor about all your medical conditions and any medicines you are using."
3384,None
3385,"Do not use  Capron DM if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
3386,"Do not use  Capron DMT if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
3387,None
3388,None
3389,None
3390,None
3391,None
3392,None
3393,None
3394,None
3395,None
3396,None
3397,"Diclofenac can increase your risk of fatal heart attack or stroke, especially if you use it long term or use high doses, or if you have heart disease. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG)."
3398,None
3399,"You should not use this medicine if you are allergic to aspirin, sulfa drugs, PABA (para-aminobenzoic acid)."
3400,None
3401,None
3402,None
3403,"Do not use  capsaicin topical if you are allergic to chili peppers, or if you have ever had an allergic reaction to capsaicin topical."
3404,None
3405,None
3406,None
3407,None
3408,"Do not use  Capsin if you are allergic to chili peppers, or if you have ever had an allergic reaction to Capsin."
3409,None
3410,None
3411,None
3412,None
3413,None
3414,None
3415,None
3416,None
3417,None
3418,None
3419,None
3420,None
3421,"Do not use  Capzasin-HP if you are allergic to chili peppers, or if you have ever had an allergic reaction to Capzasin-HP."
3422,None
3423,None
3424,This medication can harm an unborn baby or cause birth defects. Do not use Carac if you are pregnant.
3425,None
3426,"The liquid form of Carafate should never be injected through a needle into the body, or death may occur."
3427,None
3428,None
3429,None
3430,None
3431,"Before you are treated with carbachol ophthalmic, tell your doctor about all your medical conditions or allergies, and all the medicines you are using. Also make sure your doctor knows if you are pregnant or breast-feeding. In some cases, you may not be able to use carbachol ophthalmic, or you may need a dose adjustment or special precautions."
3432,"Avoid eating foods that are high in protein when you first start taking Carbaglu. Follow your doctor's instructions about any other restrictions on food, beverages, or activity. If you skip a meal, do not take your dose of Carbaglu. Wait until your next meal."
3433,"You should not take carbamazepine if you have a history of bone marrow suppression, if you are allergic to it, or take an antidepressant such as amitriptyline, desipramine, doxepin, imipramine, or nortriptyline."
3434,None
3435,None
3436,None
3437,None
3438,None
3439,None
3440,None
3441,None
3442,None
3443,None
3444,None
3445,None
3446,"You should not use  carbamide peroxide if you have a hole in your ear drum (ruptured ear drum), or if you have any signs of ear infection or injury, such as pain, warmth, swelling, drainage, or bleeding."
3447,None
3448,None
3449,None
3450,None
3451,None
3452,"You should not take Carbatrol if you have a history of bone marrow suppression, or if you are allergic to this medicine or to certain antidepressant medications."
3453,None
3454,"Do not use  carbetapentane and chlorpheniramine if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others."
3455,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
3456,"Do not use  carbetapentane and pseudoephedrine if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others."
3457,None
3458,You should not use carbidopa if you have narrow-angle glaucoma.
3459,"You should not use  carbidopa, entacapone, and levodopa if you have narrow-angle glaucoma."
3460,You should not use carbidopa and levodopa if you have narrow-angle glaucoma.
3461,None
3462,None
3463,"Do not use carbidopa and levodopa if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others."
3464,None
3465,None
3466,None
3467,None
3468,None
3469,None
3470,None
3471,None
3472,Do not breast-feed a baby while taking  carbinoxamine.
3473,None
3474,None
3475,None
3476,None
3477,None
3478,Spinal numbing medications can have long-lasting or permanent effects on certain body processes. Talk with your doctor about your specific risk of nerve damage from Carbocaine HCl.
3479,None
3480,None
3481,None
3482,None
3483,None
3484,None
3485,You should not use this medication if you have ever had an allergic reaction to ammonium lactate or urea.
3486,You should not use this medication if you have ever had an allergic reaction to ammonium lactate or urea.
3487,None
3488,None
3489,None
3490,None
3491,None
3492,None
3493,None
3494,None
3495,None
3496,Keep  carbonyl iron out of the reach of children. An accidental overdose of carbonyl iron can be fatal to a child.
3497,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3498,Carboplatin is a cancer medication used in chemotherapy combinations to treat ovarian cancer.
3499,None
3500,"You should not receive  carboprost if you have active pelvic inflammatory disease, a breathing disorder, heart disease, liver disease, or kidney disease."
3501,None
3502,None
3503,None
3504,"Do not use Carb-O-Sal5 on a child younger than 2 years old. This medication should not be used on a child or teenager who has a fever, especially if the child also has flu symptoms or chicken pox. Salicylates can cause a serious and sometimes fatal condition called Reye's syndrome in children."
3505,None
3506,None
3507,None
3508,None
3509,None
3510,None
3511,None
3512,None
3513,None
3514,None
3515,None
3516,None
3517,None
3518,None
3519,None
3520,None
3521,None
3522,None
3523,None
3524,None
3525,None
3526,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3527,None
3528,None
3529,None
3530,None
3531,None
3532,None
3533,"Carfilzomib can affect your heart or lungs. Call your doctor at once if you have chest pain, pounding heartbeats, shortness of breath (even with mild exertion or while lying down), swelling of your hands or feet, feeling like you might pass out, wheezing, gasping for breath, cough with foamy mucus, or blue colored appearance of your lips and skin."
3534,None
3535,"Avoid eating foods that are high in protein when you first start taking carglumic acid. Follow your doctor's instructions about any other restrictions on food, beverages, or activity. If you skip a meal, do not take your dose of carglumic acid. Wait until your next meal."
3536,None
3537,None
3538," Carimune can cause blood clots. The risk is highest in older adults or in people who have had blood clots, heart problems, or blood circulation problems. Blood clots are also more likely during long-term bedrest, while using birth control pills or hormone replacement therapy, or while having a central intravenous (IV) catheter in place."
3539,None
3540,Cariprazine is not approved for use in older adults with dementia-related psychosis.
3541,You should not take carisoprodol if you have porphyria (a genetic enzyme disorder that causes symptoms affecting the skin or nervous system).
3542,None
3543,None
3544,"You should not take Carlson D if you have had an allergic reaction to vitamin D, or if you have high levels of calcium or vitamin D in your body, or any condition that makes it hard for your body to absorb nutrients from food (malabsorption)."
3545,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3546,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3547,None
3548,None
3549,None
3550,None
3551,"Carmustine can lower blood cells that help your body fight infections and help your blood to clot. Carmustine can also cause serious lung problems. You will need frequent medical tests while receiving  carmustine. Call your doctor if you have unusual bruising or bleeding, tiredness, weakness, or breathing problems."
3552,None
3553,None
3554,None
3555,None
3556,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3557,None
3558,None
3559,None
3560,None
3561,None
3562,None
3563,None
3564,None
3565,None
3566,"You should not use CaroSpir if you Addison's disease, high levels of potassium in your blood, if you are unable to urinate, or if you are also taking eplerenone."
3567,None
3568,None
3569,None
3570,None
3571,None
3572,None
3573,None
3574,"Do not use this medication if you are allergic to carteolol, or if you have asthma, or severe chronic obstructive pulmonary disease (COPD), or a heart condition called ""AV block."""
3575,None
3576,None
3577,None
3578,None
3579,None
3580,None
3581,None
3582,Casodex is used to treat prostate cancer. This medicine should never be taken by a woman or a child.
3583,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3584,None
3585,None
3586,None
3587,None
3588,None
3589,None
3590,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3591,"Do not use  Castiva Warming if you are allergic to chili peppers, or if you have ever had an allergic reaction to Castiva Warming."
3592,None
3593,None
3594,"Cataflam can increase your risk of fatal heart attack or stroke, especially if you use it long term or take high doses, or if you have heart disease. Even people without heart disease or risk factors could have a stroke or heart attack while taking this medicine. Do not use diclofenac just before or after heart bypass surgery (coronary artery bypass graft, or CABG)."
3595,None
3596,None
3597,None
3598,None
3599,None
3600,None
3601,"Cathflo Activase increases your risk of severe or fatal bleeding, especially from a surgical incision, or from the skin where a needle was inserted. Seek emergency help if you have any bleeding that will not stop."
3602,None
3603,None
3604,None
3605,"Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3606,None
3607,None
3608,None
3609,None
3610,None
3611,None
3612,None
3613,None
3614,None
3615,Do not use birth control pills if you are pregnant or if you have recently had a baby.
3616,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3617,None
3618,None
3619,None
3620,"Cedazuridine and decitabine affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever, chills, cough, mouth sores, or unusual bleeding or bruising."
3621,None
3622,"You should not use this medication if you are allergic to cefoxitin or to similar antibiotics, such as cefdinir (Omnicef), cefprozil (Cefzil), cefuroxime (Ceftin), cephalexin (Keflex), and others."
3623,None
3624,None
3625,None
3626,None
3627,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3628,None
3629,None
3630,None
3631,None
3632,None
3633,None
3634,"You should not use cefazolin if you have ever had a severe allergic reaction to any type of cephalosporin antibiotic (Omnicef, Keflex, and others)."
3635,"Do not take  cefdinir if you are allergic to cefdinir, or to similar antibiotics, such as Ceftin, Cefzil, Keflex, and others."
3636,None
3637,None
3638,"You should not take cefditoren if you are allergic to milk protein (not lactose intolerance), or if you have a carnitine deficiency (a lack of a certain chemical in the body)."
3639,None
3640,None
3641,None
3642,"You should not use  cefepime if you are allergic to certain antibiotics, including cefepime and similar medicines (Keflex, Omnicef, and others), or penicillin antibiotics (amoxicillin, ampicillin, piperacillin, ticarcillin, Augmentin, and others)."
3643,"You should not use cefiderocol if you have ever had a severe allergic reaction to any type of cephalosporin antibiotic (Omnicef, Keflex, and others)."
3644,None
3645,"You should not take  cefixime if you are allergic to cefixime, or to similar antibiotics, such as Ceftin, Cefzil, Keflex, Omnicef, and others. Tell your doctor if you are allergic to penicillins."
3646,None
3647,None
3648,None
3649,None
3650,None
3651,None
3652,None
3653,None
3654,None
3655,"You should not use  Cefotan if you are allergic to Cefotan or similar antibiotics, such as Ceftin, Cefzil, Keflex, Omnicef, and others."
3656,"You should not use this medication if you are allergic to cefotaxime or to similar antibiotics, such as cefdinir (Omnicef), cefprozil (Cefzil), cefuroxime (Ceftin), cephalexin (Keflex), and others."
3657,None
3658,None
3659,"You should not use  cefotetan if you are allergic to cefotetan or similar antibiotics, such as Ceftin, Cefzil, Keflex, Omnicef, and others."
3660,None
3661,None
3662,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3663,None
3664,None
3665,"You should not use  cefpodoxime if you are allergic to cefpodoxime or to similar antibiotics, such as Ceftin, Cefzil, Omnicef, and others. Tell your doctor if you are allergic to any drugs, especially penicillins or other antibiotics."
3666,None
3667,None
3668,None
3669,None
3670,"You should not use cefprozil if you are allergic to any cephalosporin antibiotic (cefdinir, cefprozil, cefuroxime, cephalexin, and others)."
3671,None
3672,None
3673,"You should not use  ceftaroline if you are allergic to ceftaroline or to similar antibiotics, such as Ceftin, Cefzil, Keflex, Omnicef, and others. Tell your doctor if you are allergic to any drugs, especially penicillins or other antibiotics."
3674,None
3675,None
3676,None
3677,None
3678,None
3679,None
3680,"You should not use  ceftazidime injection if you have ever had a severe allergic reaction to any cephalosporin antibiotic, or to a penicillin antibiotic."
3681,None
3682,None
3683,None
3684,None
3685,None
3686,None
3687,None
3688,None
3689,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3690,None
3691,None
3692,None
3693,"You should not use ceftriaxone if you have ever had a severe allergic reaction to any type of cephalosporin antibiotic (Omnicef, Keflex, and others)."
3694,"You should not use  cefuroxime if you are allergic to cefuroxime or to similar antibiotics, such as cefdinir (Omnicef), cefprozil (Cefzil), cephalexin (Keflex), and others."
3695,None
3696,None
3697,None
3698,None
3699,None
3700,None
3701,None
3702,None
3703,"Celebrex may cause stomach or intestinal bleeding, which can be fatal. These conditions can occur without warning while you are using this medicine, especially in older adults. You should not take this medicine if you already have bleeding in your stomach or intestines."
3704,"Celecoxib can increase your risk of fatal heart attack or stroke, even if you don't have any risk factors. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG)."
3705,None
3706,None
3707,None
3708,None
3709,None
3710,None
3711,"Before receiving Celestone Soluspan, tell your doctor about all your medical conditions or allergies, all medicines you use, and if you are pregnant or breastfeeding."
3712,None
3713,None
3714,None
3715,None
3716,CellCept can cause a miscarriage or birth defects when used during pregnancy. Both men and women using mycophenolate mofetil should use effective birth control to prevent pregnancy.
3717,None
3718,None
3719,None
3720,None
3721,None
3722,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3723,None
3724,You should not use an Celluvisc to treat or prevent an eye infection.
3725,"Serious and sometimes fatal infections may occur during treatment with Celontin. Call your doctor right away if you have signs of infection such as: fever, swollen glands, sore throat, easy bruising, unusual bleeding (nose, mouth), feeling very weak or tired."
3726,None
3727,None
3728,None
3729,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3730,"Cemiplimab strengthens your immune system to help your body fight against cancer cells. This may cause the immune system to attack normal healthy tissues or organs. When this happens, you may develop serious or life-threatening medical problems."
3731,None
3732,None
3733,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3734,None
3735,None
3736,None
3737,None
3738,None
3739,None
3740,None
3741,"Cenobamate can cause serious or life-threatening allergic reactions that can affect your liver, blood cells, or other parts of the body. Call your doctor or get emergency medical help if you have symptoms such as: severe weakness or muscle pain, a fever, swollen glands, unusual bruising or bleeding, swelling in your face or throat, trouble breathing, hives or a rash, yellowing of your skin or eyes, or any illness that does not get better."
3742,None
3743,None
3744,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3745,None
3746,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3747,None
3748,None
3749,None
3750,None
3751,None
3752,None
3753,None
3754,None
3755,None
3756,None
3757,None
3758,None
3759,None
3760,None
3761,None
3762,None
3763,None
3764,None
3765,None
3766,None
3767,None
3768,None
3769,None
3770,None
3771,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3772,None
3773,None
3774,None
3775,None
3776,None
3777,None
3778,None
3779,None
3780,None
3781,None
3782,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3783,None
3784,None
3785,None
3786,None
3787,None
3788,None
3789,None
3790,None
3791,None
3792,None
3793,None
3794,None
3795,None
3796,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3797,"CeraVe SA Renewing can cause a rare but serious allergic reaction or severe skin irritation. Stop using  CeraVe SA Renewing and get emergency medical help if you have: hives, itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat."
3798,You should not use Cerdelga if you have severe liver or kidney disease.
3799,"You should not use Cerebyx if you also take delavirdine (Rescriptor), or if you have certain serious heart conditions such as slow heartbeats, heart block, AV block, or Adams-Stokes syndrome (a heart rhythm disorder)."
3800,None
3801,None
3802,None
3803,None
3804,None
3805,None
3806,None
3807,None
3808,None
3809,"Ceritinib can harm an unborn baby. Both men and women using  ceritinib should use effective birth control to prevent pregnancy. Keep using birth control for at least 6 months after your last dose of ceritinib if you are a woman, or 3 months after your last dose if you are a man."
3810,"Get emergency medical help if your child has signs of an allergic reaction within 24 hours after each infusion. Symptoms may include fever, vomiting, fussiness, hives, difficult breathing, and swelling in the face or throat."
3811,None
3812,None
3813,None
3814,None
3815,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3816,None
3817,Certolizumab affects your immune system. Serious and sometimes fatal infections may occur.
3818,None
3819,None
3820,None
3821,None
3822,None
3823,None
3824,None
3825,"You should not be treated with  Cervidil if you are allergic to prostaglandins, or if you have active genital herpes with a vaginal lesion, placenta previa, or if your water has broken."
3826,None
3827,None
3828,None
3829,None
3830,None
3831,None
3832,None
3833,None
3834,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3835,None
3836,None
3837,None
3838,None
3839,None
3840,None
3841,None
3842,None
3843,None
3844,None
3845,None
3846,None
3847,None
3848,"You should not use  cetirizine and pseudoephedrine if you have narrow-angle glaucoma, severe high blood pressure (hypertension), severe coronary artery disease, if you are unable to urinate, or if you are allergic to hydroxyzine (Atarax, Vistaril)."
3849,None
3850,None
3851,None
3852,None
3853,None
3854,"You should not use cetrorelix if you have severe kidney disease, if you are pregnant or breast-feeding, or if you have ever had an allergic reaction to a medicine similar to cetrorelix (such as Lupron, Antagon, Zoladex, Synarel, Zoladex, or others)."
3855,None
3856,None
3857,"You should not use Cetrotide if you have severe kidney disease, if you are pregnant or breast-feeding, or if you have ever had an allergic reaction to a medicine similar to this medicine (such as Lupron, Antagon, Zoladex, Synarel, Zoladex, or others)."
3858,Cetuximab has caused life-threatening side effects in a small number of patients. Your caregivers will watch you closely after you receive each dose of  cetuximab.
3859,None
3860,None
3861,None
3862,"You should not take  cevimeline if you have uncontrolled asthma, glaucoma, or an eye condition called iritis or uveitis."
3863,None
3864,None
3865,None
3866,"When you stop smoking, you may have nicotine withdrawal symptoms with or without using medication such as Chantix. This includes feeling restless, depressed, angry, frustrated, or irritated."
3867,None
3868,None
3869,None
3870,None
3871,None
3872,"Chaparral is considered unsafe due to reports of kidney or liver damage, or serious poisoning."
3873,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3874,None
3875,You should not use this medication if you have ever had an allergic reaction to charcoal.
3876,None
3877,You should not use this medication if you have ever had an allergic reaction to Charcoal Plus DS.
3878,None
3879,None
3880,None
3881,None
3882,None
3883,None
3884,"Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended."
3885,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
3886,"You should not use  Chenodal if you have liver disease, cirrhosis, or certain conditions that cause an obstruction in your digestive system."
3887,"You should not use  chenodiol if you have liver disease, cirrhosis, or certain conditions that cause an obstruction in your digestive system."
3888,"Codeine can slow or stop your breathing, and may be habit-forming. MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription."
3889,None
3890,"Codeine can slow or stop your breathing, and may be habit-forming. MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription."
3891,"Codeine can slow or stop your breathing, and may be habit-forming. MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription."
3892,None
3893,None
3894,None
3895,None
3896,None
3897,None
3898,None
3899,None
3900,None
3901,None
3902,"Do not take Children's Allegra Allergy with fruit juice (such as apple, orange, or grapefruit)."
3903,None
3904,None
3905,None
3906,None
3907,"Do not use  Children's Cold & Allergy if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
3908,Do not give this medication to a child younger than 4 years old. Always ask a doctor before giving a cough or cold medicine to a child. Death can occur from the misuse of cough and cold medicines in very young children.
3909,None
3910,None
3911,None
3912,None
3913,None
3914,None
3915,None
3916,None
3917,None
3918,None
3919,None
3920,None
3921,"Do not use  Children's NyQuil Cold & Cough if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
3922,None
3923,None
3924,None
3925,None
3926,None
3927,"Ask a doctor before taking medicine that contains acetaminophen if you have ever had liver disease, or if you drink more than 3 alcoholic beverages per day."
3928,"Do not use Children's Triacting Daytime if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others."
3929,"Do not use  Children's Triacting Night Time if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
3930,None
3931,None
3932,You should not use Children's Tylenol if you have severe liver disease.
3933,None
3934,None
3935,None
3936,None
3937,None
3938,None
3939,None
3940,None
3941,None
3942,Always ask a doctor before giving a cough or cold medicine to a child. Death can occur from the misuse of cough and cold medicines in very young children.
3943,None
3944,None
3945,None
3946,None
3947,None
3948,None
3949,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others."
3950,None
3951,None
3952,None
3953,None
3954,None
3955,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others."
3956,"You should not use  chlophedianol and pseudoephedrine if you have untreated or uncontrolled diseases such as high blood pressure, heart disease, coronary artery disease, or a thyroid disorder."
3957,None
3958,None
3959,None
3960,"Chlorambucil can lower blood cells that help your body fight infections and help your blood to clot. You may get an infection or bleed more easily. Call your doctor if you have unusual bruising or bleeding, or signs of infection (fever, chills, body aches)."
3961,None
3962,None
3963,None
3964,None
3965,None
3966,None
3967,"Chlorhexidine can cause a rare but serious allergic reaction that may be life-threatening. Get emergency medical help if you have: hives, severe skin rash; wheezing, difficult breathing; cold sweats, severe dizziness; swelling of your face, lips, tongue, or throat."
3968,None
3969,None
3970,None
3971,None
3972,None
3973,None
3974,None
3975,None
3976,None
3977,"Do not use chlorcyclizine and phenylephrine if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others."
